BC:34:00:E0:00:00/28	LLDTechn	LLD Technology Ltd.
BC:54:36	Apple	Apple, Inc.
BC:54:51	SamsungE	Samsung Electronics Co.,Ltd
BC:54:F9	DrogooTe	Drogoo Technology Co., Ltd.
BC:54:FC	Shenzhen	Shenzhen Mercury Communication Technologies Co.,Ltd.
BC:57:29	Shenzhen	Shenzhen KKM Co., Ltd
BC:5A:56	Cisco	Cisco Systems, Inc
BC:5B:D5	ARRISGro	ARRIS Group, Inc.
BC:5C:4C	Elecom	Elecom Co.,Ltd.
BC:5D:A3	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
BC:5E:A1	PsiKick	PsiKick, Inc.
BC:5F:F4	ASRockIn	ASRock Incorporation
BC:5F:F6	MercuryC	Mercury Communication Technologies Co.,Ltd.
BC:60:10	QingdaoH	Qingdao Hisense Communications Co.,Ltd.
BC:60:6B	Shanghai	Shanghai Baud Data Communication Co.,Ltd.
BC:60:A7	SonyInte	Sony Interactive Entertainment Inc.
BC:61:93	XiaomiCo	Xiaomi Communications Co Ltd
BC:62:0E	HuaweiTe	Huawei Technologies Co.,Ltd
BC:62:9F	TelenetP	Telenet Systems P. Ltd.
BC:62:CE	Shenzhen	Shenzhen Netis Technology Co.,Ltd
BC:62:D2	GenexisI	Genexis International B.V.
BC:64:4B	ARRISGro	ARRIS Group, Inc.
BC:66:41	IEEERegi	IEEE Registration Authority
BC:66:41:00:00:00/28	InSyncTe	InSync Technology Ltd
BC:66:41:10:00:00/28	GlobalCh	Global China Technology Limited
BC:66:41:20:00:00/28	Process-	Process-Electronic Sp. z o.o.
BC:66:41:30:00:00/28	Solectri	Solectria Renewables, LLC
BC:66:41:40:00:00/28	Argus-Sp	Argus-Spectrum
BC:66:41:50:00:00/28	Scientif	Scientific Games
BC:66:41:60:00:00/28	Intuitiv	Intuitive Surgical, Inc
BC:66:41:70:00:00/28	VSNMobil	VSN Mobil
BC:66:41:80:00:00/28	Shenzhen	Shenzhen Yaguang communication CO.,LTD
BC:66:41:90:00:00/28	Shenzhen	Shenzhen General Measure Technology Co., Ltd
BC:66:41:A0:00:00/28	EBlink
BC:66:41:B0:00:00/28	SidusNov	Sidus Novum Sp. z o. o.
BC:66:41:C0:00:00/28	Shenzhen	Shenzhen Crave Communication Co.,ltd
BC:66:41:D0:00:00/28	UtilLigh	UtilLighting Co.,Ltd.
BC:66:41:E0:00:00/28	LucentTr	Lucent Trans Electronics Co., Ltd
BC:66:41:F0:00:00/28	Private
BC:66:DE	ShadowCr	Shadow Creator Information Technology Co.,Ltd.
BC:67:1C	Cisco	Cisco Systems, Inc
BC:67:78	Apple	Apple, Inc.
BC:67:84	Environi	Environics Oy
BC:69:CB	Panasoni	Panasonic Electric Works Networks Co., Ltd.
BC:6A:16	tdvine
BC:6A:29	TexasIns	Texas Instruments
BC:6A:2F	HengeDoc	Henge Docks LLC
BC:6A:44	CommendI	Commend International GmbH
BC:6A:D1	XiaomiCo	Xiaomi Communications Co Ltd
BC:6B:4D	Nokia
BC:6C:21	Apple	Apple, Inc.
BC:6D:05	DusunEle	Dusun Electron Co.,Ltd.
BC:6E:64	Sony	Sony Corporation
BC:6E:6D	EMMicroe	EM Microelectronic
BC:6E:76	GreenEne	Green Energy Options Ltd
BC:6E:E2	IntelCor	Intel Corporate
BC:71:C1	XTrillio	XTrillion, Inc.
BC:72:B1	SamsungE	Samsung Electronics Co.,Ltd
BC:74:D7	HangZhou	HangZhou JuRu Technology CO.,LTD
BC:75:36	Alpsalpi	Alpsalpine Co,.Ltd
BC:75:74	HuaweiTe	Huawei Technologies Co.,Ltd
BC:75:96	BeijingB	Beijing Broadwit Technology Co., Ltd.
BC:76:4E	Rackspac	Rackspace US, Inc.
BC:76:5E	SamsungE	Samsung Electronics Co.,Ltd
BC:76:70	HuaweiTe	Huawei Technologies Co.,Ltd
BC:76:C5	HuaweiTe	Huawei Technologies Co.,Ltd
BC:77:37	IntelCor	Intel Corporate
BC:77:9F	SBM	SBM Co., Ltd.
BC:79:AD	SamsungE	Samsung Electronics Co.,Ltd
BC:7A:BF	SamsungE	Samsung Electronics Co.,Ltd
BC:7B:72	HuaweiDe	Huawei Device Co., Ltd.
BC:7D:D1	RadioDat	Radio Data Comms
BC:7E:8B	SamsungE	Samsung Electronics Co.,Ltd
BC:7F:7B	HuaweiDe	Huawei Device Co., Ltd.
BC:7F:A4	XiaomiCo	Xiaomi Communications Co Ltd
BC:81:1F	Ingate	Ingate Systems
BC:81:99	BASIC	BASIC Co.,Ltd.
BC:82:5D	MitsumiE	Mitsumi Electric Co.,Ltd.
BC:83:85	Microsof	Microsoft Corporation
BC:83:A7	Shenzhen	Shenzhen Chuangwei-Rgb Electronics Co.,Ltd
BC:85:1F	SamsungE	Samsung Electronics Co.,Ltd
BC:85:56	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
BC:88:93	VILLBAU	VILLBAU Ltd.
BC:88:C3	NingboDo	Ningbo Dooya Mechanic & Electronic Technology Co., Ltd
BC:8A:A3	NHNEnter	NHN Entertainment
BC:8A:E8	QingDaoH	Qing Dao Haier Telecom Co.,Ltd.
BC:8B:55	NPPELIKS	NPP ELIKS America Inc. DBA T&M Atlantic
BC:8C:CD	SamsungE	Samsung Electro-Mechanics(Thailand)
BC:8D:0E	Nokia
BC:90:3A	RobertBo	Robert Bosch GmbH
BC:91:B5	Infinixm	Infinix mobility limited
BC:92:6B	Apple	Apple, Inc.
BC:93:25	NingboJo	Ningbo Joyson Preh Car Connect Co.,Ltd.
BC:96:80	Shenzhen	Shenzhen Gongjin Electronics Co.,Lt
BC:97:40	IEEERegi	IEEE Registration Authority
BC:97:40:00:00:00/28	AlphaESS	Alpha ESS Co., Ltd.
BC:97:40:10:00:00/28	comtac	comtac AG
BC:97:40:20:00:00/28	LattecIS	Lattec I/S
BC:97:40:30:00:00/28	Precisio	Precision Galaxy Pvt. Ltd
BC:97:40:40:00:00/28	WindMobi	Wind Mobility Technology (Beijing) Co., Ltd
BC:97:40:50:00:00/28	Shanghai	Shanghai Laisi Information Technology Co.,Ltd
BC:97:40:60:00:00/28	Shenzhen	Shenzhen Colorwin Optical Technology Co.,Ltd
BC:97:40:70:00:00/28	Airfi	Airfi Oy AB
BC:97:40:80:00:00/28	GaodiRus	Gaodi Rus
BC:97:40:90:00:00/28	DirectCo	Direct Communication Solutions
BC:97:40:A0:00:00/28	AmapInfo	Amap Information Technology Co., Ltd
BC:97:40:B0:00:00/28	ForoTel
BC:97:40:C0:00:00/28	LISTEC	LISTEC GmbH
BC:97:40:D0:00:00/28	Rollock	Rollock Oy
BC:97:40:E0:00:00/28	B4ComTec	B4ComTechnologies LLC
BC:97:89	HuaweiDe	Huawei Device Co., Ltd.
BC:97:E1	Broadcom	Broadcom Limited
BC:98:89	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
BC:98:DF	Motorola	Motorola Mobility LLC, a Lenovo Company
BC:99:11	ZyxelCom	Zyxel Communications Corporation
BC:99:30	HuaweiTe	Huawei Technologies Co.,Ltd
BC:99:BC	FonSeeTe	FonSee Technology Inc.
BC:9A:53	HuaweiDe	Huawei Device Co., Ltd.
BC:9B:5E	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
BC:9B:68	Technico	Technicolor CH USA Inc.
BC:9C:31	HuaweiTe	Huawei Technologies Co.,Ltd
BC:9C:C5	BeijingH	Beijing Huafei Technology Co., Ltd.
BC:9D:42	Shenzhen	Shenzhen Rf-Link Technology Co.,Ltd.
BC:9D:A5	DASCOMEu	DASCOM Europe GmbH
BC:9F:E4	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
BC:9F:EF	Apple	Apple, Inc.
BC:A0:42	Shanghai	Shanghai Flyco Electrical Appliance Co.,Ltd
BC:A1:3A	SES-imag	SES-imagotag
BC:A3:7F	Rail-Mil	Rail-Mil Sp. z o.o. Sp. K.
BC:A4:E1	Nabto
BC:A5:11	Netgear
BC:A5:8B	SamsungE	Samsung Electronics Co.,Ltd
BC:A5:A9	Apple	Apple, Inc.
BC:A8:A6	IntelCor	Intel Corporate
BC:A9:20	Apple	Apple, Inc.
BC:A9:93	CambiumN	Cambium Networks Limited
BC:A9:D6	Cyber-Ra	Cyber-Rain, Inc.
BC:AB:7C	TRnPKORE	TRnP KOREA Co Ltd
BC:AD:28	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
BC:AD:AB	Avaya	Avaya Inc
BC:AE:C5	ASUSTekC	ASUSTek COMPUTER INC.
BC:AF:87	smartACc	smartAC.com, Inc.
BC:AF:91	TEConnec	TE Connectivity Sensor Solutions
BC:B0:E7	HuaweiTe	Huawei Technologies Co.,Ltd
BC:B1:81	Sharp	Sharp Corporation
BC:B1:F3	SamsungE	Samsung Electronics Co.,Ltd
BC:B2:2B	EM-Tech
BC:B3:08	Hongkong	Hongkong Ragentek Communication Technology Co.,Limited
BC:B8:52	Cybera	Cybera, Inc.
BC:B8:63	Apple	Apple, Inc.
BC:BA:C2	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
BC:BA:E1	AREC	AREC Inc.
BC:BB:C9	Kellendo	Kellendonk Elektronik GmbH
BC:BC:46	SKSWeldi	SKS Welding Systems GmbH
BC:BD:9E	ItelMobi	Itel Mobile Limited
BC:C0:0F	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
BC:C1:68	DinBoxSv	DinBox Sverige AB
BC:C2:3A	ThomsonV	Thomson Video Networks
BC:C3:1B	KygoLife	Kygo Life A
BC:C3:42	Panasoni	Panasonic Communications Co., Ltd.
BC:C4:93	Cisco	Cisco Systems, Inc
BC:C6:1A	SpectraE	Spectra Embedded Systems
BC:C6:DB	Nokia	Nokia Corporation
BC:C7:46	HonHaiPr	Hon Hai Precision IND.CO.,LTD
BC:C7:DA	EardaTec	Earda Technologies co Ltd
BC:C8:10	CiscoSPV	Cisco SPVTG
BC:CA:B5	ARRISGro	ARRIS Group, Inc.
BC:CD:45	Voismart
BC:CE:25	Nintendo	Nintendo Co.,Ltd
BC:CF:4F	ZyxelCom	Zyxel Communications Corporation
BC:CF:CC	HTC	HTC Corporation
BC:D0:74	Apple	Apple, Inc.
BC:D1:1F	SamsungE	Samsung Electronics Co.,Ltd
BC:D1:65	CiscoSPV	Cisco SPVTG
BC:D1:77	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
BC:D1:D3	Shenzhen	Shenzhen TINNO Mobile Technology Corp.
BC:D2:06	HuaweiTe	Huawei Technologies Co.,Ltd
BC:D2:95	Cisco	Cisco Systems, Inc
BC:D5:B6	d2dtechn	d2d technologies
BC:D7:13	OwlLabs	Owl Labs
BC:D7:67	Private
BC:D7:A5	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
BC:D7:CE	ChinaMob	China Mobile (Hangzhou) Information Technology Co., Ltd.
BC:D7:D4	Roku	Roku, Inc
BC:D9:40	ASR	ASR Co,.Ltd.
BC:DB:09	CiscoMer	Cisco Meraki
BC:DD:C2	Espressi	Espressif Inc.
BC:DF:58	Google	Google, Inc.
BC:E0:9D	Eoslink
BC:E1:43	Apple	Apple, Inc.
BC:E2:65	HuaweiTe	Huawei Technologies Co.,Ltd
BC:E5:9F	WATERWOR	WATERWORLD Technology Co.,LTD
BC:E6:3F	SamsungE	Samsung Electronics Co.,Ltd
BC:E6:7C	CambiumN	Cambium Networks Limited
BC:E7:12	Cisco	Cisco Systems, Inc
BC:E7:67	Quanzhou	Quanzhou TDX Electronics Co., Ltd
BC:E7:96	Wireless	Wireless CCTV Ltd
BC:E9:2F	HP	HP Inc.
BC:E9:E2	BrocadeC	Brocade Communications Systems LLC
BC:EA:2B	CityCom	CityCom GmbH
BC:EA:FA	HewlettP	Hewlett Packard
BC:EB:5F	FujianBe	Fujian Beifeng Telecom Technology Co., Ltd.
BC:EC:23	Shenzhen	Shenzhen Chuangwei-Rgb Electronics Co.,Ltd
BC:EC:5D	Apple	Apple, Inc.
BC:EC:A0	CompalIn	Compal Information (Kunshan) Co., Ltd.
BC:EE:7B	ASUSTekC	ASUSTek COMPUTER INC.
BC:F1:71	IntelCor	Intel Corporate
BC:F1:F2	Cisco	Cisco Systems, Inc
BC:F2:92	Plantron	Plantronics, Inc.
BC:F2:AF	devolo	devolo AG
BC:F3:10	ExtremeN	Extreme Networks, Inc.
BC:F4:5F	zte	zte corporation
BC:F4:D4	CloudNet	Cloud Network Technology Singapore Pte. Ltd.
BC:F5:AC	LGElectr	LG Electronics (Mobile Communications)
BC:F6:1C	Geomodel	Geomodeling Wuxi Technology Co. Ltd.
BC:F6:85	D-LinkIn	D-Link International
BC:F8:11	XiamenDN	Xiamen DNAKE Technology Co.,Ltd
BC:F8:8B	zte	zte corporation
BC:F9:F2	Teko
BC:FA:B8	Guangzho	Guangzhou Shiyuan Electronic Technology Company Limited
BC:FA:EB	Cisco	Cisco Systems, Inc
BC:FE:8C	Altronic	Altronic, LLC
BC:FE:D9	Apple	Apple, Inc.
BC:FF:21	SmartCod	Smart Code(shenzhen)Technology Co.,Ltd
BC:FF:4D	Espressi	Espressif Inc.
BC:FF:AC	Topcon	Topcon Corporation
BC:FF:EB	Motorola	Motorola Mobility LLC, a Lenovo Company
C0:00:00	WesternD	Western Digital (may be reversed 00 00 C0?)
C0:02:8D	WINSTARD	WINSTAR Display CO.,Ltd
C0:03:80	JuniperN	Juniper Networks
C0:05:C2	ARRISGro	ARRIS Group, Inc.
C0:06:0C	HuaweiTe	Huawei Technologies Co.,Ltd
C0:06:C3	TP-Link	TP-Link Corporation Limited
C0:07:4A	Brita	Brita GmbH
C0:0D:7E	Additech	Additech, Inc.
C0:10:B1	HMDGloba	HMD Global Oy
C0:11:73	SamsungE	Samsung Electronics Co.,Ltd
C0:11:A6	Fort-Tel	Fort-Telecom ltd.
C0:12:42	AlphaSec	Alpha Security Products
C0:13:2B	SichuanC	Sichuan Changhong Electric Ltd.
C0:14:3D	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
C0:14:B8	Nokia
C0:14:FE	Cisco	Cisco Systems, Inc
C0:16:92	ChinaMob	China Mobile Group Device Co.,Ltd.
C0:17:4D	SamsungE	Samsung Electronics Co.,Ltd
C0:18:03	HP	HP Inc.
C0:18:50	QuantaCo	Quanta Computer Inc.
C0:18:85	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
C0:1A:DA	Apple	Apple, Inc.
C0:1B:23	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
C0:1C:30	Shenzhen	Shenzhen WIFI-3L Technology Co.,Ltd
C0:1E:9B	PixaviAS	Pixavi AS
C0:21:0D	Shenzhen	Shenzhen Rf-Link Technology Co.,Ltd.
C0:22:50	Koss	Koss Corporation
C0:23:8D	SamsungE	Samsung Electronics Co.,Ltd
C0:25:06	AVM	AVM GmbH
C0:25:2F	Shenzhen	Shenzhen Mercury Communication Technologies Co.,Ltd.
C0:25:5C	Cisco	Cisco Systems, Inc
C0:25:67	NexxtSol	Nexxt Solutions
C0:25:A2	NECPlatf	NEC Platforms, Ltd.
C0:25:A5	Dell	Dell Inc.
C0:25:E9	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
C0:27:B9	BeijingN	Beijing National Railway Research & Design Institute of Signal & Communication Co., Ltd.
C0:28:0B	HonorDev	Honor Device Co., Ltd.
C0:28:8D	Logitech	Logitech, Inc
C0:29:73	Audyssey	Audyssey Laboratories Inc.
C0:29:F3	XySystem
C0:2B:31	PhytiumT	Phytium Technology Co.,Ltd.
C0:2B:FC	iNESappl	iNES. applied informatics GmbH
C0:2C:5C	Apple	Apple, Inc.
C0:2C:7A	Shenzhen	Shenzhen Horn Audio Co.,Ltd.
C0:2D:EE	Cuff
C0:2E:25	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
C0:2E:26	Private
C0:2F:F1	VoltaNet	Volta Networks
C0:33:5E	Microsof	Microsoft
C0:33:DA	Shenzhen	Shenzhen JRUN Technologies CO., LTD
C0:34:B4	Gigaston	Gigastone Corporation
C0:35:80	A&RTech	A&R Tech
C0:35:BD	Velocyte	Velocytech Aps
C0:35:C5	Prosoft	Prosoft Systems LTD
C0:36:53	eero	eero inc.
C0:36:56	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
C0:38:96	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
C0:38:F9	NokiaDan	Nokia Danmark A/S
C0:39:37	GreeElec	Gree Electric Appliances, Inc. Of Zhuhai
C0:39:5A	Zhejiang	Zhejiang Dahua Technology Co., Ltd.
C0:3B:8F	MinicomD	Minicom Digital Signage
C0:3C:04	Sagemcom	Sagemcom Broadband SAS
C0:3C:59	IntelCor	Intel Corporate
C0:3D:03	SamsungE	Samsung Electronics Co.,Ltd
C0:3D:46	Shanghai	Shanghai Sango Network Technology Co.,Ltd
C0:3D:D9	MitraSta	MitraStar Technology Corp.
C0:3E:0F	SkyUk	Sky Uk Limited
C0:3E:50	HuaweiTe	Huawei Technologies Co.,Ltd
C0:3E:BA	Dell	Dell Inc.
C0:3F:0E	Netgear
C0:3F:2A	Biscotti	Biscotti, Inc.
C0:3F:D5	Elitegro	Elitegroup Computer Systems Co.,Ltd.
C0:3F:DD	HuaweiTe	Huawei Technologies Co.,Ltd
C0:40:04	Medicaro	Medicaroid Corporation
C0:41:21	NokiaSol	Nokia Solutions and Networks GmbH & Co. KG
C0:41:F6	LgElectr	Lg Electronics Inc
C0:42:D0	JuniperN	Juniper Networks
C0:43:01	Epec	Epec Oy
C0:44:42	Apple	Apple, Inc.
C0:44:E3	Shenzhen	Shenzhen Sinkna Electronics Co., LTD
C0:47:54	vivoMobi	vivo Mobile Communication Co., Ltd.
C0:48:E6	SamsungE	Samsung Electronics Co.,Ltd
C0:48:FB	Shenzhen	Shenzhen JingHanDa Electronics Co.Ltd
C0:49:3D	Maitrise	Maitrise Technologique
C0:49:EF	Espressi	Espressif Inc.
C0:4A:00	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
C0:4A:09	Zhejiang	Zhejiang Everbright Communication Equip. Co,. Ltd
C0:4B:13	WonderSo	WonderSound Technology Co., Ltd
C0:4D:F7	Serelec
C0:4E:30	Espressi	Espressif Inc.
C0:51:7E	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
C0:53:36	BeijingN	Beijing National Railway Research & Design Institute of Signal & Communication Group Co..Ltd.
C0:56:27	BelkinIn	Belkin International Inc.
C0:56:E3	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
C0:57:BC	Avaya	Avaya Inc
C0:58:A7	Pico	Pico Systems Co., Ltd.
C0:5E:6F	VStonkau	V. Stonkaus firma "Kodinis Raktas"
C0:5E:79	Shenzhen	Shenzhen Huaxun Ark Technologies Co.,Ltd
C0:61:18	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
C0:61:9A	IEEERegi	IEEE Registration Authority
C0:61:9A:00:00:00/28	ParagonR	Paragon Robotics LLC
C0:61:9A:10:00:00/28	KidKraft
C0:61:9A:20:00:00/28	GrupArge	Grup Arge Enerji ve Kontrol Sistemleri
C0:61:9A:30:00:00/28	LyandAco	Lyand Acoustic Technology Co.,Ltd.
C0:61:9A:40:00:00/28	Stello
C0:61:9A:50:00:00/28	NanjingB	Nanjing Balance Network Technology Co., Ltd
C0:61:9A:60:00:00/28	IPGAutom	IPG Automotive GmbH
C0:61:9A:70:00:00/28	MadPiece	Mad Piece Llc.
C0:61:9A:80:00:00/28	NanjingS	Nanjing SinoVatio Technology Co., Ltd
C0:61:9A:90:00:00/28	Wingtech	Wingtech Mobile Communications Co.,Ltd.
C0:61:9A:A0:00:00/28	GronnKon	Gronn Kontakt AS
C0:61:9A:B0:00:00/28	VictronE	Victron Energy B.V.
C0:61:9A:C0:00:00/28	JAM-Labs	JAM-Labs Corp
C0:61:9A:D0:00:00/28	Uhnder
C0:61:9A:E0:00:00/28	Zhejiang	Zhejiang Haikang Science And Technology Co.,Ltd
C0:62:6B	Cisco	Cisco Systems, Inc
C0:63:69	BinxinTe	Binxin Technology(Zhejiang) Ltd.
C0:63:94	Apple	Apple, Inc.
C0:64:C6	Nokia	Nokia Corporation
C0:64:E4	Cisco	Cisco Systems, Inc
C0:65:99	SamsungE	Samsung Electronics Co.,Ltd
C0:67:AF	Cisco	Cisco Systems, Inc
C0:69:11	AristaNe	Arista Networks
C0:6B:55	Motorola	Motorola Mobility LLC, a Lenovo Company
C0:6C:0F	DobbsSta	Dobbs Stanford
C0:6C:6D	MagneMot	MagneMotion, Inc.
C0:6D:1A	TianjinH	Tianjin Henxinhuifeng Technology Co.,Ltd.
C0:6D:ED	Hangzhou	Hangzhou Hikvision Digital Technology Co.,Ltd.
C0:70:09	HuaweiTe	Huawei Technologies Co.,Ltd
C0:74:2B	Shenzhen	Shenzhen Xunlong Software Co.,Limited
C0:74:AD	Grandstr	Grandstream Networks, Inc.
C0:78:31	HuaweiDe	Huawei Device Co., Ltd.
C0:78:78	Flextron	Flextronics Manufacturing(Zhuhai)Co.,Ltd.
C0:79:82	TCLKingE	TCL King Electrical Appliances(Huizhou)Co.,Ltd
C0:7B:BC	Cisco	Cisco Systems, Inc
C0:7C:D1	Pegatron	Pegatron Corporation
C0:7E:40	Shenzhen	Shenzhen Xdk Communication Equipment Co.,Ltd
C0:81:35	NingboFo	Ningbo Forfan technology Co., LTD
C0:81:70	EffigisG	Effigis GeoSolutions
C0:83:0A	2Wire	2Wire Inc
C0:83:59	IEEERegi	IEEE Registration Authority
C0:83:59:00:00:00/28	Chongqin	Chongqing Jiuyu Smart Technology Co.Ltd.
C0:83:59:10:00:00/28	GemvaxTe	Gemvax Technology ,. Co.Ltd
C0:83:59:20:00:00/28	HuaxinSM	Huaxin SM Optics Co. LTD.
C0:83:59:30:00:00/28	PCHEngin	PCH Engineering A/S
C0:83:59:40:00:00/28	Ants
C0:83:59:50:00:00/28	ViperDes	Viper Design, LLC
C0:83:59:60:00:00/28	BeijingC	Beijing Cloud Fly Technology Development Co.Ltd
C0:83:59:70:00:00/28	FuzhouFd	Fuzhou Fdlinker Technology Co.,LTD
C0:83:59:80:00:00/28	istaInte	ista International GmbH
C0:83:59:90:00:00/28	Shenzhen	Shenzhen Pay Device Technology Co., Ltd.
C0:83:59:A0:00:00/28	Shanghai	Shanghai Charmhope Information Technology Co.,Ltd.
C0:83:59:B0:00:00/28	SuzhouSi	Suzhou Siheng Science and Technology Ltd.
C0:83:59:C0:00:00/28	Private
C0:83:59:D0:00:00/28	GardnerD	Gardner Denver Thomas GmbH
C0:83:59:E0:00:00/28	CyberSci	Cyber Sciences, Inc.
C0:83:C9	HuaweiDe	Huawei Device Co., Ltd.
C0:84:7A	Apple	Apple, Inc.
C0:84:7D	AMPAKTec	AMPAK Technology, Inc.
C0:84:88	Finis	Finis Inc
C0:85:4C	Ragentek	Ragentek Technology Group
C0:86:B3	Shenzhen	Shenzhen Voxtech Co., Ltd.
C0:87:EB	SamsungE	Samsung Electronics Co.,Ltd
C0:88:5B	SnDTech	SnD Tech Co., Ltd.
C0:88:6D	Securosy	Securosys SA
C0:89:97	SamsungE	Samsung Electronics Co.,Ltd
C0:89:AB	ARRISGro	ARRIS Group, Inc.
C0:8A:CD	Guangzho	Guangzhou Shiyuan Electronic Technology Company Limited
C0:8A:DE	RuckusWi	Ruckus Wireless
C0:8B:05	HuaweiTe	Huawei Technologies Co.,Ltd
C0:8B:6F	SISistem	S I Sistemas Inteligentes Eletrônicos Ltda
C0:8C:60	Cisco	Cisco Systems, Inc
C0:8C:71	Motorola	Motorola Mobility LLC, a Lenovo Company
C0:8D:51	AmazonTe	Amazon Technologies Inc.
C0:8F:20	Shenzhen	Shenzhen Skyworth Digital Technology CO., Ltd
C0:91:32	PatriotM	Patriot Memory
C0:91:34	ProCurve	ProCurve Networking by HP
C0:92:96	zte	zte corporation
C0:94:35	ARRISGro	ARRIS Group, Inc.
C0:94:AD	zte	zte corporation
C0:95:6D	Apple	Apple, Inc.
C0:95:DA	NXPIndia	NXP India Private Limited
C0:97:27	SamsungE	Samsung Electro-Mechanics(Thailand)
C0:98:79	Acer	Acer Inc.
C0:98:DA	ChinaMob	China Mobile IOT Company Limited
C0:98:E5	Universi	University of Michigan
C0:9A:71	XiamenMe	Xiamen Meitu Mobile Technology Co.Ltd
C0:9A:D0	Apple	Apple, Inc.
C0:9B:F4	IEEERegi	IEEE Registration Authority
C0:9B:F4:00:00:00/28	Annapurn	Annapurna labs
C0:9B:F4:10:00:00/28	Connecte	Connected Space Management
C0:9B:F4:20:00:00/28	HitachiH	Hitachi High-Tech Materials Corporation
C0:9B:F4:30:00:00/28	OspreyVi	Osprey Video, Inc
C0:9B:F4:40:00:00/28	NpkAtron	Jsc Npk Atronik
C0:9B:F4:50:00:00/28	Infiot	Infiot Inc.
C0:9B:F4:60:00:00/28	DelovoyO	LTD Delovoy Office
C0:9B:F4:70:00:00/28	BigDutch	Big Dutchman International GmbH
C0:9B:F4:80:00:00/28	Shenzhen	Shenzhen Wins Electronic Technology Co., Ltd
C0:9B:F4:90:00:00/28	Alcatraz	Alcatraz AI Inc.
C0:9B:F4:A0:00:00/28	Inveo
C0:9B:F4:B0:00:00/28	Nuctech	Nuctech Company Limited
C0:9B:F4:C0:00:00/28	Pinpark	Pinpark Inc.
C0:9B:F4:D0:00:00/28	Professi	The Professional Monitor Company Ltd
C0:9B:F4:E0:00:00/28	Continen	Continental Automotive Component Malaysia Sdn.Bhd.
C0:9C:04	ShaanxiG	Shaanxi GuoLian Digital TV Technology Co.,Ltd.
C0:9C:92	Coby
C0:9D:26	TopiconH	Topicon HK Lmd.
